date, value
01-07-1947,10.1677
01-08-1947,9.8839
01-09-1947,9.7484
01-10-1947,9.5839
01-11-1947,9.3106
01-12-1947,9.5031
01-01-1948,8.5906
01-02-1948,8.1871
01-03-1948,8.8187
01-04-1948,8.3226
01-05-1948,8.9731
01-06-1948,9
01-07-1948,7.657
01-08-1948,7.715
01-09-1948,7.4831
01-10-1948,7.2227
01-11-1948,6.441
01-12-1948,6.6376
01-01-1949,6.395
01-02-1949,6.1429
01-03-1949,6.3277
01-04-1949,6.1417
01-05-1949,5.9125
01-06-1949,5.9
01-07-1949,6.2929
01-08-1949,6.3682
01-09-1949,6.5188
01-10-1949,6.9138
01-11-1949,6.9224
01-12-1949,7.2241
01-01-1950,7.1941
01-02-1950,7.2658
01-03-1950,7.2954
01-04-1950,7.1142
01-05-1950,7.3937
01-06-1950,6.9646
01-07-1950,6.5588
01-08-1950,6.7721
01-09-1950,7.1507
01-10-1950,6.8768
01-11-1950,6.8697
01-12-1950,7.1866
01-01-1951,7.6537
01-02-1951,7.7032
01-03-1951,7.5618
01-04-1951,8.2463
01-05-1951,7.9118
01-06-1951,7.7059
01-07-1951,8.9243
01-08-1951,9.2749
01-09-1951,9.2669
01-10-1951,9.4016
01-11-1951,9.377
01-12-1951,9.7418
01-01-1952,10.0583
01-02-1952,9.6917
01-03-1952,10.1542
01-04-1952,9.9658
01-05-1952,10.1966
01-06-1952,10.6667
01-07-1952,10.7627
01-08-1952,10.6059
01-09-1952,10.3983
01-10-1952,10.2167
01-11-1952,10.6917
01-12-1952,11.0708
01-01-1953,10.856
01-02-1953,10.6584
01-03-1953,10.4074
01-04-1953,9.8088
01-05-1953,9.7769
01-06-1953,9.6175
01-07-1953,9.7059
01-08-1953,9.1451
01-09-1953,9.1569
01-10-1953,9.7769
01-11-1953,9.8645
01-12-1953,9.8845
01-01-1954,10.2275
01-02-1954,10.2549
01-03-1954,10.5647
01-04-1954,10.7863
01-05-1954,11.1412
01-06-1954,11.1489
01-07-1954,11.7414
01-08-1954,11.3422
01-09-1954,12.2852
01-10-1954,11.4368
01-11-1954,12.361
01-12-1954,12.9892
01-01-1955,12.375
01-02-1955,12.4189
01-03-1955,12.3581
01-04-1955,11.7888
01-05-1955,11.7733
01-06-1955,12.7422
01-07-1955,12.6512
01-08-1955,12.5523
01-09-1955,12.6948
01-10-1955,11.6961
01-11-1955,12.5718
01-12-1955,12.5635
01-01-1956,11.8753
01-02-1956,12.2873
01-03-1956,13.1382
01-04-1956,13.4389
01-05-1956,12.5556
01-06-1956,13.0472
01-07-1956,14.2746
01-08-1956,13.7312
01-09-1956,13.1069
01-10-1956,13.3666
01-11-1956,13.2199
01-12-1956,13.6862
01-01-1957,13.1529
01-02-1957,12.7235
01-03-1957,12.9735
01-04-1957,13.3743
01-05-1957,13.8684
01-06-1957,13.8509
01-07-1957,13.8069
01-08-1957,13.0317
01-09-1957,12.2248
01-10-1957,12.184
01-11-1957,12.3798
01-12-1957,11.8665
01-01-1958,13.2803
01-02-1958,13.0064
01-03-1958,13.4076
01-04-1958,14.8259
01-05-1958,15.0478
01-06-1958,15.4403
01-07-1958,16.3854
01-08-1958,16.5799
01-09-1958,17.3819
01-10-1958,17.7612
01-11-1958,18.1592
01-12-1958,19.1038
01-01-1959,17.8296
01-02-1959,17.8167
01-03-1959,17.8264
01-04-1959,16.9382
01-05-1959,17.2588
01-06-1959,17.1971
01-07-1959,17.6414
01-08-1959,17.3761
01-09-1959,16.5831
01-10-1959,16.9676
01-11-1959,17.1917
01-12-1959,17.6667
01-01-1960,16.4041
01-02-1960,16.5546
01-03-1960,16.3245
01-04-1960,16.6779
01-05-1960,17.1258
01-06-1960,17.4601
01-07-1960,16.9755
01-08-1960,17.419
01-09-1960,16.367
01-10-1960,16.3272
01-11-1960,16.9847
01-12-1960,17.7706
01-01-1961,19.9935
01-02-1961,20.5307
01-03-1961,21.055
01-04-1961,21.5545
01-05-1961,21.967
01-06-1961,21.3333
01-07-1961,21.8885
01-08-1961,22.318
01-09-1961,21.8787
01-10-1961,21.511
01-11-1961,22.3574
01-12-1961,22.4295
01-01-1962,20.4273
01-02-1962,20.7596
01-03-1962,20.638
01-04-1962,18.8012
01-05-1962,17.1844
01-06-1962,15.7781
01-07-1962,16.4958
01-08-1962,16.7479
01-09-1962,15.9405
01-10-1962,15.4005
01-11-1962,16.9646
01-12-1962,17.1935
01-01-1963,17.8437
01-02-1963,17.3288
01-03-1963,17.9434
01-04-1963,18.1771
01-05-1963,18.4375
01-06-1963,18.0651
01-07-1963,17.4571
01-08-1963,18.3081
01-09-1963,18.1061
01-10-1963,18.4104
01-11-1963,18.2164
01-12-1963,18.6617
01-01-1964,18.4306
01-02-1964,18.6124
01-03-1964,18.8947
01-04-1964,18.351
01-05-1964,18.5612
01-06-1964,18.8661
01-07-1964,18.6085
01-08-1964,18.3065
01-09-1964,18.8322
01-10-1964,18.6505
01-11-1964,18.5538
01-12-1964,18.6264
01-01-1965,18.7094
01-02-1965,18.6816
01-03-1965,18.4103
01-04-1965,18.4112
01-05-1965,18.2686
01-06-1965,17.3802
01-07-1965,17.1185
01-08-1965,17.504
01-09-1965,18.0643
01-10-1965,17.8073
01-11-1965,17.6513
01-12-1965,17.8092
01-01-1966,17.3933
01-02-1966,17.0824
01-03-1966,16.7097
01-04-1966,16.6777
01-05-1966,15.7747
01-06-1966,15.5201
01-07-1966,15.1724
01-08-1966,13.9927
01-09-1966,13.8947
01-10-1966,14.4505
01-11-1966,14.4955
01-12-1966,14.4739
01-01-1967,15.8917
01-02-1967,15.9229
01-03-1967,16.5505
01-04-1967,17.6379
01-05-1967,16.7129
01-06-1967,17.0056
01-07-1967,17.8774
01-08-1967,17.6679
01-09-1967,18.2472
01-10-1967,17.5047
01-11-1967,17.636
01-12-1967,18.0994
01-01-1968,16.9559
01-02-1968,16.4265
01-03-1968,16.5809
01-04-1968,17.4973
01-05-1968,17.7163
01-06-1968,17.8779
01-07-1968,17.2686
01-08-1968,17.4664
01-09-1968,18.1396
01-10-1968,17.9531
01-11-1968,18.8142
01-12-1968,18.0313
01-01-1969,17.6993
01-02-1969,16.8608
01-03-1969,17.4416
01-04-1969,17.7551
01-05-1969,17.7158
01-06-1969,16.7312
01-07-1969,15.5908
01-08-1969,16.2156
01-09-1969,15.8098
01-10-1969,16.8028
01-11-1969,16.2301
01-12-1969,15.9273
01-01-1970,15.1012
01-02-1970,15.897
01-03-1970,15.9201
01-04-1970,14.7681
01-05-1970,13.8678
01-06-1970,13.1739
01-07-1970,14.5616
01-08-1970,15.209
01-09-1970,15.7276
01-10-1970,16.2281
01-11-1970,16.9981
