Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,1052.829956,1059.810059,977.789978,1059.790039,1059.790039,11326210000
1996-02-01,1058.260010,1121.890015,1057.819946,1100.050049,1100.050049,10690430000
1996-03-01,1098.939941,1119.839966,1057.869995,1101.400024,1101.400024,10648850000
1996-04-01,1105.770020,1190.869995,1092.439941,1190.520020,1190.520020,11951730000
1996-05-01,1190.479980,1252.810059,1163.209961,1243.430054,1243.430054,14550600000
1996-06-01,1242.540039,1254.119995,1147.750000,1185.020020,1185.020020,11479100000
1996-07-01,1185.640015,1198.040039,1008.440002,1080.589966,1080.589966,11807920000
1996-08-01,1081.339966,1153.900024,1080.410034,1141.500000,1141.500000,9696450000
1996-09-01,1133.300049,1237.260010,1123.140015,1226.920044,1226.920044,10646990000
1996-10-01,1223.729980,1269.619995,1202.359985,1221.510010,1221.510010,12543840000
1996-11-01,1223.719971,1293.750000,1218.229980,1292.609985,1292.609985,10973580000
1996-12-01,1294.780029,1328.949951,1251.030029,1291.030029,1291.030029,11852910000
1997-01-01,1292.650024,1400.530029,1272.339966,1379.849976,1379.849976,14074400000
1997-02-01,1383.969971,1384.510010,1296.880005,1309.000000,1309.000000,12037800000
1997-03-01,1306.209961,1332.339966,1220.400024,1221.699951,1221.699951,11834210000
1997-04-01,1211.280029,1267.410034,1194.160034,1260.760010,1260.760010,12452400000
1997-05-01,1263.930054,1414.260010,1260.939941,1400.319946,1400.319946,12905590000
1997-06-01,1407.069946,1467.290039,1375.449951,1442.069946,1442.069946,12580930000
1997-07-01,1442.650024,1595.760010,1432.420044,1593.810059,1593.810059,14331570000
1997-08-01,1594.670044,1638.260010,1545.130005,1587.319946,1587.319946,13420440000
1997-09-01,1595.069946,1702.489990,1595.069946,1685.689941,1685.689941,14680150000
1997-10-01,1690.790039,1748.780029,1465.839966,1593.609985,1593.609985,18850990000
1997-11-01,1609.619995,1654.430054,1508.410034,1600.550049,1600.550049,11687640000
1997-12-01,1608.560059,1652.839966,1486.510010,1570.349976,1570.349976,14926610000
