Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,26.625000,30.125000,26.625000,29.375000,20.754421,41074000
1996-02-01,29.875000,32.875000,29.875000,30.250000,21.372637,46490100
1996-03-01,30.250000,32.000000,28.250000,30.375000,21.460953,36573500
1996-04-01,30.250000,32.125000,29.375000,30.625000,21.637589,34821300
1996-05-01,30.625000,32.125000,29.750000,31.500000,22.255806,27064600
1996-06-01,31.625000,31.750000,26.875000,27.125000,19.208273,33389300
1996-07-01,27.250000,29.250000,24.875000,27.875000,19.739376,26284100
1996-08-01,27.750000,29.500000,26.500000,27.000000,19.119747,20525500
1996-09-01,27.000000,27.750000,24.625000,25.125000,17.791985,21437700
1996-10-01,25.125000,27.750000,25.125000,26.125000,18.500137,23289400
1996-11-01,26.000000,30.375000,25.375000,30.000000,21.244173,41710700
1996-12-01,29.375000,30.500000,27.875000,28.750000,20.408468,24846800
1997-01-01,28.750000,28.750000,26.000000,26.875000,19.077480,28112800
1997-02-01,27.000000,28.375000,25.375000,28.250000,20.053539,34015000
1997-03-01,28.000000,28.125000,23.375000,23.750000,16.859171,23828100
1997-04-01,23.875000,24.500000,21.500000,22.375000,15.883113,25845600
1997-05-01,22.250000,26.000000,22.250000,25.250000,17.923964,21655100
1997-06-01,25.250000,25.375000,21.562500,21.875000,15.577053,26753600
1997-07-01,21.812500,23.187500,19.312500,22.812500,16.244644,33872800
1997-08-01,22.750000,23.937500,21.875000,22.750000,16.200125,20664800
1997-09-01,22.625000,25.125000,20.937500,24.687500,17.579815,28735800
1997-10-01,25.187500,25.187500,19.125000,20.562500,14.642427,31077400
1997-11-01,20.875000,21.125000,16.250000,16.562500,11.794054,24188400
1997-12-01,16.187500,19.562500,15.125000,18.625000,13.386651,46280500
1998-01-01,18.625000,20.375000,15.062500,19.375000,13.925716,51257100
1998-02-01,19.250000,20.250000,17.687500,19.312500,13.880785,36524400
1998-03-01,19.250000,22.312500,18.687500,21.625000,15.542894,36202400
1998-04-01,21.562500,23.687500,21.187500,22.437500,16.126871,40340300
1998-05-01,22.437500,22.500000,19.125000,19.250000,13.835875,24611100
1998-06-01,19.062500,19.875000,16.500000,19.250000,13.899205,30539700
1998-07-01,19.125000,19.437500,16.125000,16.375000,11.823355,17403400
1998-08-01,16.500000,17.000000,12.875000,13.000000,9.386477,25968600
1998-09-01,13.500000,21.562500,13.000000,20.000000,14.440726,53802900
1998-10-01,20.750000,23.375000,19.125000,21.375000,15.433544,55044900
1998-11-01,21.312500,23.625000,19.375000,20.000000,14.440726,29862100
1998-12-01,20.000000,20.562500,17.937500,19.500000,14.201373,29573200
1999-01-01,19.250000,21.812500,18.187500,19.062500,13.882746,24467100
1999-02-01,19.187500,20.625000,17.375000,17.687500,12.881373,26114800
1999-03-01,17.687500,19.625000,16.437500,17.062500,12.426199,40670800
1999-04-01,17.187500,21.000000,16.125000,20.125000,14.656544,42960100
1999-05-01,20.125000,23.500000,16.625000,17.250000,12.562754,44176000
1999-06-01,16.750000,19.562500,16.125000,19.375000,14.278129,30663700
1999-07-01,19.125000,19.687500,16.750000,18.562500,13.679372,25367700
1999-08-01,18.437500,20.687500,17.937500,19.375000,14.278129,34468500
1999-09-01,19.250000,26.000000,18.062500,21.750000,16.028351,50050200
1999-10-01,22.500000,24.437500,18.125000,18.312500,13.495140,54489500
1999-11-01,18.000000,19.562500,16.937500,18.000000,13.264847,42129700
1999-12-01,17.937500,18.750000,17.187500,17.687500,13.102615,29037000
2000-01-01,17.562500,18.187500,16.187500,16.375000,12.130337,30307800
2000-02-01,16.250000,19.750000,15.937500,16.312500,12.084039,41421300
2000-03-01,16.625000,17.312500,15.562500,15.687500,11.621046,34786700
2000-04-01,15.687500,17.812500,15.500000,16.812500,12.454427,35090400
2000-05-01,16.625000,19.125000,16.625000,18.125000,13.426710,39834900
2000-06-01,18.187500,20.000000,17.250000,18.171875,13.626328,29166000
2000-07-01,18.187500,18.375000,15.812500,15.937500,11.950861,18627300
2000-08-01,16.062500,17.687500,15.625000,15.953125,11.962581,24942800
2000-09-01,16.000000,16.562500,14.812500,15.250000,11.435337,27088600
2000-10-01,15.125000,15.187500,12.312500,13.375000,10.029353,37026800
2000-11-01,13.437500,15.125000,13.125000,15.000000,11.247875,27065100
2000-12-01,14.875000,17.260000,14.812500,16.379999,12.373800,32823300
