Date,Regime
03-01-1983,Normal
04-01-1983,Normal
05-01-1983,Normal
06-01-1983,Normal
07-01-1983,Normal
08-01-1983,Normal
09-01-1983,Normal
10-01-1983,Normal
11-01-1983,Normal
12-01-1983,Normal
01-01-1984,Normal
02-01-1984,Normal
03-01-1984,Normal
04-01-1984,Normal
05-01-1984,Normal
06-01-1984,Normal
07-01-1984,Normal
08-01-1984,Normal
09-01-1984,Normal
10-01-1984,Normal
11-01-1984,Normal
12-01-1984,Normal
01-01-1985,Normal
02-01-1985,Normal
03-01-1985,Normal
04-01-1985,Normal
05-01-1985,Normal
06-01-1985,Normal
07-01-1985,Normal
08-01-1985,Normal
09-01-1985,Normal
10-01-1985,Normal
11-01-1985,Normal
12-01-1985,Normal
01-01-1986,Normal
02-01-1986,Normal
03-01-1986,Normal
04-01-1986,Normal
05-01-1986,Normal
06-01-1986,Normal
07-01-1986,Normal
08-01-1986,Normal
09-01-1986,Normal
10-01-1986,Normal
11-01-1986,Normal
12-01-1986,Normal
01-01-1987,Normal
02-01-1987,Normal
03-01-1987,Normal
04-01-1987,Normal
05-01-1987,Normal
06-01-1987,Normal
07-01-1987,Normal
08-01-1987,Normal
09-01-1987,Normal
10-01-1987,Normal
11-01-1987,Normal
12-01-1987,Normal
01-01-1988,Normal
02-01-1988,Normal
03-01-1988,Normal
04-01-1988,Normal
05-01-1988,Normal
06-01-1988,Normal
07-01-1988,Normal
08-01-1988,Normal
09-01-1988,Normal
10-01-1988,Normal
11-01-1988,Normal
12-01-1988,Normal
01-01-1989,Normal
02-01-1989,Normal
03-01-1989,Normal
04-01-1989,Normal
05-01-1989,Normal
06-01-1989,Normal
07-01-1989,Normal
08-01-1989,Normal
09-01-1989,Normal
10-01-1989,Normal
11-01-1989,Normal
12-01-1989,Normal
01-01-1990,Normal
02-01-1990,Normal
03-01-1990,Normal
04-01-1990,Normal
05-01-1990,Normal
06-01-1990,Normal
07-01-1990,Recession
08-01-1990,Recession
09-01-1990,Recession
10-01-1990,Recession
11-01-1990,Recession
12-01-1990,Recession
01-01-1991,Recession
02-01-1991,Recession
03-01-1991,Normal
04-01-1991,Normal
05-01-1991,Normal
06-01-1991,Normal
07-01-1991,Normal
08-01-1991,Normal
09-01-1991,Normal
10-01-1991,Normal
11-01-1991,Normal
12-01-1991,Normal
01-01-1992,Normal
02-01-1992,Normal
03-01-1992,Normal
04-01-1992,Normal
05-01-1992,Normal
06-01-1992,Normal
07-01-1992,Normal
08-01-1992,Normal
09-01-1992,Normal
10-01-1992,Normal
11-01-1992,Normal
12-01-1992,Normal
01-01-1993,Normal
02-01-1993,Normal
03-01-1993,Normal
04-01-1993,Normal
05-01-1993,Normal
06-01-1993,Normal
07-01-1993,Normal
08-01-1993,Normal
09-01-1993,Normal
10-01-1993,Normal
11-01-1993,Normal
12-01-1993,Normal
01-01-1994,Normal
02-01-1994,Normal
03-01-1994,Normal
04-01-1994,Normal
05-01-1994,Normal
06-01-1994,Normal
07-01-1994,Normal
08-01-1994,Normal
09-01-1994,Normal
10-01-1994,Normal
11-01-1994,Normal
12-01-1994,Normal
01-01-1995,Normal
02-01-1995,Normal
03-01-1995,Normal
04-01-1995,Normal
05-01-1995,Normal
06-01-1995,Normal
07-01-1995,Normal
08-01-1995,Normal
09-01-1995,Normal
10-01-1995,Normal
11-01-1995,Normal
12-01-1995,Normal
01-01-1996,Normal
02-01-1996,Normal
03-01-1996,Normal
04-01-1996,Normal
05-01-1996,Normal
06-01-1996,Normal
07-01-1996,Normal
08-01-1996,Normal
09-01-1996,Normal
10-01-1996,Normal
11-01-1996,Normal
12-01-1996,Normal
01-01-1997,Normal
02-01-1997,Normal
03-01-1997,Normal
04-01-1997,Normal
05-01-1997,Normal
06-01-1997,Normal
07-01-1997,Normal
08-01-1997,Normal
09-01-1997,Normal
10-01-1997,Normal
11-01-1997,Normal
12-01-1997,Normal
01-01-1998,Normal
02-01-1998,Normal
03-01-1998,Normal
04-01-1998,Normal
05-01-1998,Normal
06-01-1998,Normal
07-01-1998,Normal
08-01-1998,Normal
09-01-1998,Normal
10-01-1998,Normal
11-01-1998,Normal
12-01-1998,Normal
01-01-1999,Normal
02-01-1999,Normal
03-01-1999,Normal
04-01-1999,Normal
05-01-1999,Normal
06-01-1999,Normal
07-01-1999,Normal
08-01-1999,Normal
09-01-1999,Normal
10-01-1999,Normal
11-01-1999,Normal
12-01-1999,Normal
01-01-2000,Normal
02-01-2000,Normal
03-01-2000,Normal
04-01-2000,Normal
05-01-2000,Normal
06-01-2000,Normal
07-01-2000,Normal
08-01-2000,Normal
09-01-2000,Normal
10-01-2000,Normal
11-01-2000,Normal
12-01-2000,Normal
01-01-2001,Normal
02-01-2001,Normal
03-01-2001,Recession
04-01-2001,Recession
05-01-2001,Recession
06-01-2001,Recession
07-01-2001,Recession
08-01-2001,Recession
09-01-2001,Recession
10-01-2001,Recession
11-01-2001,Normal
12-01-2001,Normal
01-01-2002,Normal
02-01-2002,Normal
03-01-2002,Normal
04-01-2002,Normal
05-01-2002,Normal
06-01-2002,Normal
07-01-2002,Normal
08-01-2002,Normal
09-01-2002,Normal
10-01-2002,Normal
11-01-2002,Normal
12-01-2002,Normal
01-01-2003,Normal
02-01-2003,Normal
03-01-2003,Normal
04-01-2003,Normal
05-01-2003,Normal
06-01-2003,Normal
07-01-2003,Normal
08-01-2003,Normal
09-01-2003,Normal
10-01-2003,Normal
11-01-2003,Normal
12-01-2003,Normal
01-01-2004,Normal
02-01-2004,Normal
03-01-2004,Normal
04-01-2004,Normal
05-01-2004,Normal
06-01-2004,Normal
07-01-2004,Normal
08-01-2004,Normal
