prediction;test_price
50.03;47.73
50.15;47.52
49.74;47.25
49.94;45.77
49.31;46.65
48.6;45.69
48.27;44.92
48.86;44.74
48.44;44.56
47.29;44.35
47.18;44.58
46.82;43.77
46.42;43.33
45.83;44.91
45.67;45.63
45.55;46.31
45.64;47.54
46.18;48.15
45.66;48.7
45.6;48.55
45.54;48.54
45.64;48.19
45.95;48.47
46.11;49.61
46.55;49.47
45.95;49.87
46.39;49.69
46.5;49.65
46.62;48.89
46.95;49.95
46.7;49.94
47.3;49.48
47.34;50.39
47.95;50.68
48.25;51.1
48.4;51.06
48.99;50.01
48.89;50.31
49.56;50.81
49.33;50.44
50.17;50.83
50.67;51.3
51.43;51.12
52.13;50.84
51.75;51.42
52.12;50.65
52.13;51.81
52.09;52.21
52.04;52.17
51.93;51.76
52.49;51.94
52.33;52.42
52.99;52.19
52.84;53.26
53.44;52.11
53.37;51.01
52.97;48.33
52.57;49.25
52.28;49.76
51.9;50.86
51.77;50.25
52.43;50.12
52.46;52.24
52.13;50.69
52.54;50.44
52.72;51.63
52.51;52.59
52.25;52.59
53.19;53.16
52.49;53.12
52.15;50.66
52.9;51.62
52.69;51.04
53.25;51.38
52.75;52.25
53.38;52.19
53.4;51.42
53.07;52.3
53.13;53.32
53.37;53.31
54.15;53.54
53.82;54.17
54.37;55.9
54.35;55.77
54.91;54.69
55.32;54.97
55.62;55.17
55.05;55.69
55.1;55.24
55.27;54.43
55.52;54.68
55.43;54.42
55.34;55.26
55.9;54.97
56.19;54.71
55.67;55.99
56.07;56.15
56.18;54.74
56.05;55.21
56.31;56.75
56.46;56.76
57.2;56.1
56.81;56.76
57.47;57.52
57.71;59.05
57.82;58.97
58.64;58.83
58.9;58.59
59.24;58.82
59.67;59.1
59.84;60.13
59.88;59.99
60.1;60.79
60.36;60.9
60.35;61.65
60.86;62.26
61.02;60.82
61.08;60.81
61.52;62.19
60.79;63.96
60.77;64.38
60.43;64.28
61.1;64.31
61.46;64.86
62.3;65.04
62.8;65.55
63.45;65.49
63.99;66.12
64.23;65.66
64.57;66.44
64.57;66.78
65.2;66.57
65.7;65.8
65.84;65.5
66.47;65.44
66.86;66.59
66.75;66.07
67.68;66.96
68.12;66.81
67.92;66.04
67.79;64.86
68.29;65.43
68.05;66.39
68.31;67.68
68.33;66.73
68.74;67.12
68.51;67.69
68.27;67.86
68.4;68.79
68.43;69.96
68.99;70.1
69.45;69.93
69.37;70.0
69.74;69.86
70.01;71.0
70.3;71.07
70.24;72.48
71.27;72.45
72.04;72.88
72.23;73.41
72.54;75.09
72.96;74.36
74.17;74.95
73.99;74.6
74.17;75.8
74.78;77.41
75.54;77.58
76.34;79.24
77.0;78.17
77.96;77.83
78.96;78.81
79.76;79.68
79.57;79.14
79.74;79.43
80.27;79.81
80.69;79.58
81.19;77.24
80.54;79.42
80.94;81.08
80.94;80.97
81.23;77.38
81.41;77.17
81.32;79.71
81.97;80.36
82.06;81.3
82.57;80.01
82.49;80.39
83.04;79.9
83.1;81.8
83.39;81.22
83.96;81.24
84.32;79.75
84.39;80.9
84.18;80.07
84.1;78.26
84.69;74.54
84.23;72.02
83.51;73.16
82.85;68.38
83.06;68.34
82.22;74.7
81.85;72.33
81.7;75.68
81.88;73.23
80.95;72.26
80.19;66.54
79.54;71.33
78.61;68.86
77.54;62.06
76.34;69.49
75.83;60.55
75.07;63.22
74.09;61.67
73.59;61.19
73.35;57.31
72.43;56.09
70.26;61.72
70.88;61.38
69.8;64.61
68.56;61.94
68.67;63.7
66.84;63.57
66.26;60.23
66.39;61.23
65.11;60.35
63.6;65.62
64.17;64.86
64.85;66.52
64.44;67.0
64.99;68.31
65.13;71.76
65.25;71.11
65.9;71.67
66.61;70.7
66.85;69.23
66.04;67.09
66.51;69.03
65.4;68.76
66.1;70.74
66.46;70.79
67.43;69.64
67.75;71.93
68.41;73.45
69.55;72.27
69.81;73.29
70.59;74.39
70.09;75.16
70.52;75.93
71.53;77.53
71.7;78.75
73.18;77.85
73.27;76.91
75.0;77.39
75.41;76.93
75.21;78.74
76.67;78.29
75.56;79.81
77.73;79.21
78.95;79.72
79.3;79.18
79.13;79.53
79.42;79.56
80.05;79.49
79.09;80.46
79.64;80.83
80.06;81.28
80.76;80.58
81.27;82.88
81.24;83.36
82.49;86.0
83.11;88.21
83.78;83.97
84.42;84.7
84.15;85.75
83.77;88.02
84.93;87.9
85.53;87.93
86.93;87.43
88.07;89.72
87.5;91.63
88.38;90.01
89.72;91.21
89.85;88.41
89.89;90.44
89.94;91.2
90.61;91.03
90.42;91.03
92.08;93.46
92.1;93.17
93.52;95.34
94.11;95.75
93.95;95.92
95.73;95.48
95.97;97.06
96.36;97.72
97.28;96.52
98.81;96.33
99.32;98.36
98.04;97.0
98.96;97.27
99.7;92.85
99.79;92.61
100.28;94.81
98.95;93.25
99.5;95.04
99.39;96.19
99.8;106.26
100.55;108.94
101.72;109.67
103.56;110.06
104.32;113.9
104.82;111.11
106.12;112.73
107.38;109.38
107.53;113.01
107.68;115.01
109.56;114.91
109.98;114.61
112.08;115.56
111.8;115.71
114.16;118.28
115.16;124.37
116.84;125.86
117.84;124.82
119.1;126.52
121.28;125.01
120.59;124.81
121.98;129.04
122.8;134.18
124.45;131.4
126.69;120.88
126.67;120.96
127.69;112.82
126.01;117.32
128.82;113.49
129.21;112.0
129.22;115.36
130.22;115.54
129.11;112.13
130.85;110.34
128.3;106.84
129.31;110.08
128.24;111.81
126.34;107.12
125.94;108.22
125.24;112.28
123.8;114.96
123.99;114.09
