,Ticker,Attribute,Recent
186,PYPL,trailingPE,26.825432
187,PEP,trailingPE,32.15822
188,PFE,trailingPE,7.06213
189,PCG,trailingPE,19.544945
190,PSX,trailingPE,4.380634
191,DOC,trailingPE,32.886364
192,PLNT,trailingPE,49.198387
193,PNC,trailingPE,8.751646
194,PKX,trailingPE,21.19165
195,TROW,trailingPE,18.498365
196,PG,trailingPE,27.315971
197,PRU,trailingPE,71.63909
198,PSA,trailingPE,12.104972
199,QCOM,trailingPE,12.474414
200,RTX,trailingPE,23.181818
201,RKT,trailingPE,6.3845725
202,REGN,trailingPE,21.473536
203,RF,trailingPE,8.759575
204,QSR,trailingPE,22.279818
205,RIO,trailingPE,8.358268
206,RBA,trailingPE,59.204082
207,RCI,trailingPE,18.70852
208,RY,trailingPE,12.332031
209,RGLD,trailingPE,31.254168
210,SGE,trailingPE,9.6692
211,CRM,trailingPE,554.56757
212,SAP,trailingPE,84.86798
213,SEIC,trailingPE,21.359861
214,SRE,trailingPE,18.60116
215,SIRI,trailingPE,16.758621
216,SJW,trailingPE,25.875
217,SKYW,trailingPE,66.84127
218,SWBI,trailingPE,16.093704
219,SMIN,trailingPE,22.632555
220,SNA,trailingPE,15.087076
221,SONY,trailingPE,15.6616535
222,SO,trailingPE,22.402597
223,LUV,trailingPE,30.550457
224,SFM,trailingPE,15.697478
225,SBUX,trailingPE,32.295456
226,SU,trailingPE,6.940529
227,SUN,trailingPE,12.230769
228,SYY,trailingPE,24.298012
229,TSM,trailingPE,15.26873
230,TGT,trailingPE,22.228685
231,TRP,trailingPE,30.68067
232,TU,trailingPE,22.577923
233,TSLA,trailingPE,79.08445
234,TXN,trailingPE,18.784512
235,TXRH,trailingPE,25.935251
236,EL,trailingPE,54.3541
237,GEO,trailingPE,6.450893
238,HSY,trailingPE,27.260605
239,MIDD,trailingPE,17.683958
240,DIS,trailingPE,39.067936
241,WEN,trailingPE,25.779764
242,YORW,trailingPE,30.043795
243,TWI,trailingPE,4.088737
244,TJX,trailingPE,26.654322
245,TR,trailingPE,30.779816
246,TM,trailingPE,13.154776
247,THS,trailingPE,151.59999
248,TREX,trailingPE,50.7063
249,TSN,trailingPE,13.0167465
250,UBS,trailingPE,11.193877
251,ULTA,trailingPE,18.408207
252,UAA,trailingPE,9.445122
253,UL,trailingPE,14.444599
254,UNFI,trailingPE,9.613953
255,X,trailingPE,3.4154625
256,UNH,trailingPE,22.434422
257,URBN,trailingPE,19.239584
258,VEEV,trailingPE,60.50473
259,VEON,trailingPE,2.6549616
260,VRSK,trailingPE,48.398148
261,VZ,trailingPE,6.47
262,VFC,trailingPE,61.83871
263,V,trailingPE,32.030083
264,VOD,trailingPE,1.9718221
265,WNC,trailingPE,5.7627115
266,WMT,trailingPE,38.69231
267,WDFC,trailingPE,46.985138
268,WFC,trailingPE,10.905
269,WSM,trailingPE,9.094661
270,WH,trailingPE,21.576271
271,YUM,trailingPE,31.288729
272,ZTO,trailingPE,20.09542
